time,open,high,low,close,tick_volume,spread,real_volume
2026-08-17 07:00:00+00:00,63421.71,63581.82,63421.71,63532.62,2831,1694,0
2026-08-17 08:00:00+00:00,63527.5,63586.01,63434.3,63509.96,2636,1694,0
2026-08-17 09:00:00+00:00,63511.36,63714.83,63468.99,63657.92,2896,1694,0
2026-08-17 10:00:00+00:00,63657.96,63661.9,63510.69,63519.71,2888,1694,0
2026-08-17 11:00:00+00:00,63515.61,63544.28,63340.87,63372.7,2671,1694,0
2026-08-17 12:00:00+00:00,63372.79,63420.28,63282.92,63310.94,2372,1694,0
2026-08-17 13:00:00+00:00,63310.95,63688.35,63286.23,63681.89,3494,1694,0
2026-08-17 14:00:00+00:00,63681.83,63775.42,63576.71,63619.49,2813,1694,0
2026-08-17 15:00:00+00:00,63619.49,63674.01,63523.77,63544.9,3321,1694,0
2026-08-17 16:00:00+00:00,63544.89,63794.24,63432.76,63662.33,5494,1694,0
2026-08-17 17:00:00+00:00,63662.38,63894.09,63577.35,63890.32,5233,1694,0
2026-08-17 18:00:00+00:00,63890.3,64221.61,63802.81,64193.65,5540,1694,0
2026-08-17 19:00:00+00:00,64192.84,64207.85,64046.88,64106.67,4595,1694,0
2026-08-17 20:00:00+00:00,64104.52,64420.23,63967.75,64320.73,6220,1694,0
2026-08-17 21:00:00+00:00,64319.35,64610.15,64272.25,64423.47,5215,1694,0
2026-08-17 22:00:00+00:00,64422.93,64422.93,64276.41,64301.25,3272,1694,0
2026-08-17 23:00:00+00:00,64301.26,64431.57,64255.64,64382.49,3179,1694,0
2026-08-18 00:00:00+00:00,64382.96,64426.45,64285.78,64371.8,2958,1694,0
2026-08-18 01:00:00+00:00,64371.9,64410.04,64268.41,64282.7,2421,1694,0
2026-08-18 02:00:00+00:00,64282.93,64569.81,64276.38,64523.9,2717,1694,0
2026-08-18 03:00:00+00:00,64523.9,64560.02,64351.24,64374.44,3199,1694,0
2026-08-18 04:00:00+00:00,64375.74,64379.39,64145.56,64195.61,3093,1694,0
2026-08-18 05:00:00+00:00,64194.91,64267.59,64040.57,64095.25,3372,1694,0
2026-08-18 06:00:00+00:00,64094.64,64183.34,64032.8,64170.94,2795,1694,0
2026-08-18 07:00:00+00:00,64170.16,64239.71,64077.37,64202.8,2536,1694,0
2026-08-18 08:00:00+00:00,64203.36,64267.55,64129.87,64225.57,2844,1694,0
2026-08-18 09:00:00+00:00,64224.93,64443.81,64156.2,64317.04,3138,1694,0
2026-08-18 10:00:00+00:00,64315.72,64348.24,64154.64,64189.04,2825,1694,0
2026-08-18 11:00:00+00:00,64191.51,64330.9,64078.27,64283.55,3029,1694,0
2026-08-18 12:00:00+00:00,64280.91,64280.91,64128.43,64164.51,2444,1694,0
2026-08-18 13:00:00+00:00,64161.65,64212.48,64117.37,64193.97,2320,1694,0
2026-08-18 14:00:00+00:00,64194.88,64393.39,64183.56,64344.8,2643,1694,0
2026-08-18 15:00:00+00:00,64344.11,64346.7,64208.3,64217.25,2466,1694,0
